Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
TRNP,0.0,20.0,48.0,85.0,86.0,89.0
TRNT,0.0,0.0,0.0,0.0,0.0,0.0
CYTB,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNE,14.289180737961226,1.2496788431766528,9.0,16.3495844533012,100.0,4.80952226825479
ND6,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
ND5,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNL2,0.0,0.0,0.0,0.0,0.0,0.0
TRNS2,0.0,0.0,0.0,0.0,0.0,0.0
TRNH,0.0,0.0,0.0,0.0,0.0,0.0
ND4,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
ND4L,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNR,0.0,0.0,0.0,0.0,0.0,0.0
ND3,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNG,0.0,0.0,0.0,0.0,0.0,0.0
COX3,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
ATP6,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
ATP8,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNK,0.0,0.0,0.0,0.0,0.0,0.0
COX2,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRND,0.0,0.0,4.0,10.0,5.0,0.0
TRNS1,0.0,2.0,0.0,0.0,0.0,0.0
COX1,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNY,0.0,0.0,0.0,0.0,0.0,0.0
TRNC,0.0,1.0,0.0,0.0,0.0,0.0
TRNN,0.0,0.0,0.0,0.0,0.0,0.0
TRNA,7.0,11.0,0.0,0.0,0.0,4.80952226825479
TRNW,0.0,0.0,0.0,6.0,0.0,0.0
ND2,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNM,6.0,15.0,2.0,61.0,7.0,28.0
TRNQ,59.0,1.2496788431766528,0.0,0.0,0.0,0.0
TRNI,0.0,0.0,59.0,62.0,1.0,1.0
ND1,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNL1,0.0,0.0,0.0,0.0,0.0,0.0
RNR2,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNV,0.0,0.0,0.0,0.0,0.0,0.0
RNR1,14.289180737961226,1.2496788431766528,6.0559713529905155,16.3495844533012,12.302746913580247,4.80952226825479
TRNF,79.0,1.0,8.0,32.0,2.0,2.0
DDX11L16,0.0,0.0,0.0,0.0,0.0,1.0
WASIR1,0.0,0.0,0.0,0.0,0.0,0.0
IL9R,0.0,0.0,0.0,0.0,0.0,0.0
VAMP7,68.0,1.0,6.0559713529905155,91.0,1.0,4.0
SPRY3,0.0,0.0,0.0,0.0,0.0,0.0
TMLHE,29.0,1.2496788431766528,6.0559713529905155,20.0,35.0,5.0
TMLHE-AS1,0.0,0.0,0.0,0.0,0.0,0.0
