Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
TRNP,0,20,48,85,86,89
TRNT,0,0,0,0,0,0
CYTB,264032,175459,130711,240211,203884,215980
TRNE,987,386,9,244,100,387
ND6,19642,19044,13303,27216,34278,33518
ND5,400360,315749,242156,392414,431866,466895
TRNL2,0,0,0,0,0,0
TRNS2,0,0,0,0,0,0
TRNH,0,0,0,0,0,0
ND4,624554,487748,274697,563199,630430,510058
ND4L,58139,40065,19050,42933,51335,47653
TRNR,0,0,0,0,0,0
ND3,26045,15054,5714,14901,11761,11931
TRNG,0,0,0,0,0,0
COX3,58177,38025,33549,54504,47971,53863
ATP6,168995,121633,76423,143271,169446,135823
ATP8,14227,8476,4009,8746,8911,8210
TRNK,0,0,0,0,0,0
COX2,216239,127039,84579,180170,167138,190948
TRND,0,0,4,10,5,0
TRNS1,0,2,0,0,0,0
COX1,476481,344621,241678,540111,530072,552181
TRNY,0,0,0,0,0,0
TRNC,0,1,0,0,0,0
TRNN,0,0,0,0,0,0
TRNA,7,11,0,0,0,171
TRNW,0,0,0,6,0,0
ND2,268095,126310,113242,236692,159246,240798
TRNM,6,15,2,61,7,28
TRNQ,59,259,0,0,0,0
TRNI,0,0,59,62,1,1
ND1,459975,216363,231314,462863,364180,498089
TRNL1,0,0,0,0,0,0
RNR2,1126223,1257607,635265,885858,1359192,959494
TRNV,0,0,0,0,0,0
RNR1,252685,442183,297712,494395,716582,604147
TRNF,79,1,8,32,2,2
DDX11L16,0,0,0,0,0,1
WASIR1,0,0,0,0,0,0
IL9R,0,0,0,0,0,0
VAMP7,68,1,264,91,1,4
SPRY3,0,0,0,0,0,0
TMLHE,29,138,131,20,35,5
TMLHE-AS1,0,0,0,0,0,0
H2AFB3,0,0,0,0,0,0
MIR1184-3,0,0,0,0,0,0
F8A3,0,0,0,0,0,0
MIR1184-2,0,0,0,0,0,0
F8A2,0,0,0,0,0,0
H2AFB2,0,0,0,0,0,0
LOC101927830,0,0,0,0,0,0
CLIC2,380,0,596,98,83,179
RAB39B,15,22,11,177,10,46
VBP1,301,4,188,313,106,11
BRCC3,712,72,358,253,267,64
MTCP1,0,0,0,4,0,0
CMC4,11,0,0,13,5,0
FUNDC2,252,148,227,184,135,178
MIR1184-1,0,0,0,0,0,0
F8A1,33,1,0,12,125,7
H2AFB1,0,0,0,0,0,0
F8,341,110,200,197,188,424
SMIM9,0,0,0,0,0,0
MPP1,155,98,197,328,19,313
SNORA56,0,0,0,0,0,0
MIR664B,0,0,0,0,0,0
SNORA36A,0,0,0,0,0,0
DKC1,383,85,421,176,235,41
GAB3,1,10,328,30,0,170
LOC105373387,0,0,0,0,0,0
CTAG2,0,0,0,0,0,0
FAM223B,0,0,0,0,0,0
CTAG1B,0,0,0,0,0,0
CTAG1A,0,0,0,0,0,0
FAM223A,0,0,0,0,0,0
IKBKG,191,0,80,79,24,15
G6PD,29,225,1,118,44,14
FAM3A,77,0,1,71,125,143
SLC10A3,83,0,1,23,0,14
UBL4A,193,0,10,130,19,7
LAGE3,0,0,0,34,1,52
PLXNA3,172,19,13,178,162,162
MIR6858,0,0,0,0,0,0
FAM50A,581,260,1125,356,594,540
GDI1,2390,990,1997,3591,1791,2059
ATP6AP1,391,348,530,553,449,264
CH17-340M24.3,4,0,0,7,0,0
TAZ,185,1,75,82,104,113
DNASE1L1,233,127,566,78,9,2
SNORA70,0,0,0,0,0,0
RPL10,2268,701,1556,724,431,871
LOC107987332,0,0,0,0,0,0
LOC107985654,0,0,0,0,0,0
EMD,282,348,299,115,39,0
FLNA,911,628,3417,462,1278,1833
LOC105373386,0,0,0,0,1,0
TKTL1,0,0,0,0,0,0
TEX28,0,0,0,0,0,0
OPN1MW3,0,0,0,0,0,0
OPN1MW2,0,0,0,0,0,0
OPN1MW,0,0,0,0,0,0
OPN1LW,0,0,0,0,0,0
MECP2,2383,905,1719,1759,1583,659
MIR718,0,0,0,0,0,0
IRAK1,490,273,590,239,501,310
MIR3202-2,0,0,0,0,0,0
MIR3202-1,0,0,0,0,0,0
TMEM187,0,2,0,14,0,0
HCFC1-AS1,0,0,0,0,0,0
HCFC1,788,889,1029,783,884,661
RENBP,62,9,38,59,45,96
NAA10,376,0,113,45,41,10
ARHGAP4,71,6,16,18,5,70
AVPR2,0,0,0,0,0,0
LCA10,0,0,0,0,0,0
L1CAM,499,1,128,891,195,226
PDZD4,2489,240,209,3711,1355,1266
SSR4,13,25,219,52,35,1
IDH3G,35,133,1,161,136,197
SRPK3,0,0,0,5,0,0
PLXNB3,186,241,528,47,618,310
LOC102723591,0,0,0,0,7,0
ABCD1,0,37,127,8,74,59
BCAP31,686,664,1178,556,509,1076
SLC6A8,546,590,444,1189,666,767
PNCK,99,0,0,275,47,0
DUSP9,0,0,0,8,0,0
LOC105373383,0,0,0,3,0,0
FAM58A,43,52,1,23,5,0
ATP2B3,318,94,273,596,129,390
BGN,2363,1550,4463,194,258,1460
LOC105373381,0,0,0,0,0,0
LOC107983954,0,0,0,11,0,0
HAUS7,154,211,332,41,2,506
TREX2,0,0,0,0,0,0
ZFP92,2,61,125,127,30,0
LOC105373379,0,0,0,0,0,0
LOC105373378,0,0,0,0,0,0
ZNF275,460,194,504,235,435,1
LOC105373377,0,0,0,18,0,0
LOC105373373,0,0,0,0,0,0
MAGEA1,0,0,0,0,0,0
PNMA6A,161,174,0,63,0,1
PNMA3,118,2,89,474,249,839
PNMA5,0,140,0,87,71,0
LOC105373372,0,0,0,0,0,0
ZNF185,0,0,51,18,19,8
NSDHL,36,94,52,97,89,0
CETN2,293,438,14,127,101,190
LOC107985638,0,0,0,0,0,0
MAGEA6,0,0,0,0,0,0
CSAG3,0,0,0,0,0,0
MAGEA2,0,0,0,0,0,0
CSAG4,0,0,0,0,0,0
MAGEA12,0,0,0,0,0,0
CSAG1,6,1,193,0,0,1
MAGEA2B,0,0,0,0,0,0
CSAG2,0,0,0,0,0,0
MAGEA3,0,0,0,0,0,0
GABRQ,11,0,219,6,0,36
LOC105373370,0,0,0,0,0,0
MIR105-2,0,0,0,0,0,0
MIR767,0,0,0,0,0,0
MIR105-1,0,0,0,0,0,0
GABRA3,102,0,2,433,26,53
MAGEA10,0,0,0,0,0,0
MAGEA5,0,0,0,0,0,0
MAGEA10-MAGEA5,0,0,0,0,0,0
LOC105373369,0,0,0,0,0,0
MIR452,0,0,0,0,0,0
MIR224,0,0,0,0,0,0
GABRE,230,5,510,4,3,427
MAGEA4,0,0,0,0,0,0
LOC105373368,0,0,0,0,0,0
CNGA2,0,0,0,0,0,0
FATE1,0,0,0,0,0,0
PRRG3,204,0,0,10,0,25
PASD1,0,0,0,0,0,0
LOC105377213,0,0,0,0,0,0
LOC105373367,0,0,0,0,0,0
VMA21,805,108,578,579,546,226
LOC107985693,0,0,0,1,0,0
GPR50,0,0,0,0,0,0
GPR50-AS1,0,0,0,0,0,0
MIR4330,0,0,0,0,0,0
HMGB3,84,44,9,106,0,1
CD99L2,507,367,842,1265,730,817
MTMR1,58,0,124,296,192,60
MTM1,512,0,548,153,190,712
MAMLD1,179,0,1,240,3,369
MIR2114,0,0,0,0,0,0
LINC00894,1,0,115,0,59,398
LOC101927685,0,0,0,0,0,0
CXorf40B,75,52,103,59,72,31
MAGEA8,0,0,0,0,0,0
MAGEA8-AS1,0,0,0,0,0,0
LINC00850,0,0,0,0,0,0
MAGEA9,0,0,0,0,0,0
HSFX1,0,0,0,0,0,0
MAGEA11,0,0,0,0,0,0
TMEM185A,5,116,220,48,1,0
HSFX2,0,0,0,0,0,0
MAGEA9B,0,0,0,0,0,0
LOC101928917,0,0,0,0,0,0
CXorf40A,1,2,2,17,2,2
LINC00893,0,0,97,13,0,0
IDS2,30,0,0,3,27,0
IDS,17545,970,4219,25562,2808,12078
LOC107985667,0,0,0,0,0,0
AFF2,401,133,215,587,74,110
FMR1NB,0,0,0,0,0,0
FMR1,757,494,793,1117,698,480
FMR1-AS1,0,0,0,0,4,0
LOC105373349,0,0,0,0,0,0
LOC105373348,0,0,0,0,0,0
MIR514A3,0,0,0,0,0,0
LOC101928863,0,0,0,0,0,0
MIR514A2,0,0,0,0,0,0
MIR514A1,0,0,0,0,0,0
MIR510,0,0,0,0,0,0
MIR509-1,0,0,0,0,0,0
MIR509-3,0,0,0,0,0,0
MIR509-2,0,0,0,0,0,0
MIR514B,0,0,0,0,0,0
MIR508,0,0,0,0,0,0
MIR507,0,0,0,0,0,0
MIR506,0,0,0,0,0,0
MIR513A2,0,0,0,0,0,0
MIR513A1,0,0,0,0,0,0
MIR513B,0,0,0,0,0,0
MIR513C,0,0,0,0,0,0
LOC105373347,0,0,0,0,0,0
LOC101928832,0,10,0,0,0,0
CXorf51A,0,0,0,0,0,0
CXorf51B,0,0,0,0,0,0
LOC101928808,0,0,0,0,0,0
MIR891A,0,0,0,0,0,0
MIR891B,0,0,0,0,0,0
MIR892B,0,0,0,0,0,0
MIR892A,0,0,0,0,0,0
MIR888,0,0,0,0,0,0
MIR890,0,0,0,0,0,0
MIR892C,0,0,0,0,0,0
LOC107985703,0,0,0,0,0,0
TMEM257,0,0,0,0,0,0
SLITRK2,484,230,107,793,1350,1151
SPANXN1,0,0,0,0,0,0
UBE2NL,0,0,0,0,0,0
SPANXN2,0,0,0,0,0,0
SLITRK4,436,15,684,690,2,1
SPANXN3,0,0,0,0,0,0
SPANXN4,0,0,0,0,0,0
LOC105373345,0,0,0,0,0,0
MAGEC2,0,0,0,0,0,0
MAGEC1,0,0,0,0,0,0
MAGEC3,0,0,0,3,0,0
SPANXD,0,0,0,0,0,0
LOC645188,0,0,0,0,0,0
SPANXA2,0,0,0,0,0,0
SPANXA1,0,0,0,0,0,0
SPANXA2-OT1,0,0,0,0,0,0
SPANXC,0,0,0,0,0,0
LDOC1,140,136,371,320,166,33
SPANXB1,0,0,0,0,0,0
MIR320D2,0,0,0,0,0,0
CDR1,41,485,1,149,51,3
LINC00632,123,17,183,390,202,684
LOC101928833,0,0,0,0,0,0
LOC105373344,0,0,0,0,0,0
SOX3,61,0,0,25,0,0
LOC105373343,0,0,0,0,0,0
LOC389895,0,0,0,15,0,0
LOC728660,0,0,0,0,0,0
CXorf66,0,0,0,0,0,0
MIR505,0,0,0,0,0,0
ATP11C,385,188,707,52,99,164
MCF2,88,0,0,130,121,0
F9,0,0,0,0,0,0
SRD5A1P1,0,0,0,0,0,0
FGF13-AS1,0,0,0,0,0,0
MIR504,0,0,0,0,0,0
FGF13,311,237,0,676,63,56
LINC00889,40,0,0,118,0,4
ZIC3,625,1,38,9,9,0
GPR101,0,0,0,0,0,0
SNORD61,0,0,0,0,0,0
RBMX,1146,969,1492,421,328,678
ARHGEF6,830,386,871,443,992,709
CD40LG,0,0,0,0,0,0
LINC00892,0,0,0,0,0,0
MIR934,0,0,0,0,0,0
VGLL1,0,0,0,0,0,0
