Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
TRNP,0.0,38.65035525821889,73.85779428904331,115.3965172038667,126.02977389514106,128.15930100891956
TRNT,0.0,0.0,0.0,0.0,0.0,0.0
CYTB,20457.57977709502,20207.957163064166,11986.447892079856,19435.24122282771,17806.604779741476,18535.185147757617
TRNE,1264.5948078335566,735.1409600128474,13.647635901236262,326.45507475644604,144.42239003824727,549.2004828774999
ND6,3307.575266786711,4766.847700623943,2651.272069247846,4785.724361478759,6506.3854726750815,6251.551732108157
ND5,19533.30897206329,22898.98315466501,13983.022285484672,19992.58671171662,23750.592013475616,25230.74450870629
TRNL2,0.0,0.0,0.0,0.0,0.0,0.0
TRNS2,0.0,0.0,0.0,0.0,0.0,0.0
TRNH,0.0,0.0,0.0,0.0,0.0,0.0
ND4,40068.594520644925,46513.464310632466,20857.81003887848,37730.74199866503,45590.17639531961,36244.27210313358
ND4L,17305.90999407048,17727.239204140857,6711.236442341939,13344.966122864937,17224.266467687754,15710.96400811512
TRNR,0.0,0.0,0.0,0.0,0.0,0.0
ND3,6654.7477090375,5717.526946227087,1727.9379628249246,3975.776885213451,3387.2852403915613,3376.5235494883586
TRNG,0.0,0.0,0.0,0.0,0.0,0.0
COX3,6560.222842537122,6373.611198416875,4477.41681444015,6417.930381305664,6097.423043421027,6727.342084048291
ATP6,21938.658907855577,23471.27672219969,11741.970340207594,19421.996377462772,24795.212112585006,19529.68520159621
ATP8,6076.119666007434,5380.876318712343,2026.4211973354138,3900.5137757102143,4289.826392102738,3883.665774697911
TRNK,0.0,0.0,0.0,0.0,0.0,0.0
COX2,27948.677024901663,24406.942160242914,12938.09850316044,24316.94795862065,24350.210386091632,27335.564593854382
TRND,0.0,0.0,6.154816190753608,13.576060847513729,7.327312435764018,0.0
TRNS1,0.0,3.8090205182012817,0.0,0.0,0.0,0.0
COX1,27317.726097873212,29369.041420301564,16398.97687738791,32335.630767054547,34255.79957284314,35064.37653818638
TRNY,0.0,0.0,0.0,0.0,0.0,0.0
TRNC,0.0,1.991078907241579,0.0,0.0,0.0,0.0
TRNN,0.0,0.0,0.0,0.0,0.0,0.0
TRNA,8.968757502365651,20.94961285010705,0.0,0.0,0.0,242.66998080633715
TRNW,0.0,0.0,0.0,8.145636508508234,0.0,0.0
ND2,22745.96297493469,15929.510237104734,11371.135140351675,20970.005719783196,15229.457454492516,22628.418003143426
TRNM,7.800557995754999,28.987766443664164,3.077408095376804,82.81397116983375,10.258237410069622,40.31978009269379
TRNQ,72.44407101613207,472.71531722760494,0.0,0.0,0.0,0.0
TRNI,0.0,0.0,89.46783535254883,82.95169932335924,1.4442239003824726,1.4191226947739015
ND1,42536.29587842112,29741.133023112598,25316.75480116701,44696.88547492331,37961.36479377504,51017.37329528182
TRNL1,0.0,0.0,0.0,0.0,0.0,0.0
RNR2,63864.80781274496,106006.19301203193,42635.64350617354,52456.666035757764,86879.70009044075,60265.00324057595
TRNV,0.0,0.0,0.0,0.0,0.0,0.0
RNR1,23416.092209416478,60909.64584181657,32652.16440491389,47841.89611992089,74851.60871895937,62010.22179128953
TRNF,98.3675998901311,1.850862082787947,11.789507069612545,41.60775831576039,2.8070830739828345,2.758294815194344
DDX11L16,0.0,0.0,0.0,0.0,0.0,0.05959797074826489
WASIR1,0.0,0.0,0.0,0.0,0.0,0.0
IL9R,0.0,0.0,0.0,0.0,0.0,0.0
VAMP7,2.2431455331076564,0.049034032790277696,10.30702054630679,3.1346516613587667,0.03718337653969799,0.14614845662596898
SPRY3,0.0,0.0,0.0,0.0,0.0,0.0
TMLHE,0.576649436483313,4.078890392972627,3.082945491859714,0.4152821131943021,0.7844805936625443,0.11012085688191545
TMLHE-AS1,0.0,0.0,0.0,0.0,0.0,0.0
H2AFB3,0.0,0.0,0.0,0.0,0.0,0.0
MIR1184-3,0.0,0.0,0.0,0.0,0.0,0.0
F8A3,0.0,0.0,0.0,0.0,0.0,0.0
MIR1184-2,0.0,0.0,0.0,0.0,0.0,0.0
F8A2,0.0,0.0,0.0,0.0,0.0,0.0
H2AFB2,0.0,0.0,0.0,0.0,0.0,0.0
LOC101927830,0.0,0.0,0.0,0.0,0.0,0.0
CLIC2,12.47008281429777,0.0,23.14795755186175,3.358235689971473,3.0701819886749897,6.506156051652731
RAB39B,0.37758965241410875,0.8231909377319968,0.3277194270133613,4.652661399791436,0.28374558407286626,1.2825442577483952
VBP1,13.018739486065991,0.25716479036779694,9.623675413722376,14.136637919690909,5.167834445889142,0.5269638577952013
BRCC3,9.476859779245059,1.4245117385143002,5.639598213930512,3.5164491240684455,4.005862227754636,0.943517889208303
MTCP1,0.0,0.0,0.0,0.15916760993636786,0.0,0.0
CMC4,0.9562139267166074,0.0,0.0,1.18006271280257,0.4899284617816648,0.0
FUNDC2,7.51632713761008,6.561693240869009,8.01330488533002,5.730893162081369,4.538780577619007,5.880453757494285
MIR1184-1,0.0,0.0,0.0,0.0,0.0,0.0
F8A1,1.7141061635795356,0.0772098753689449,0.0,0.6508851734178144,7.318702197884153,0.4027240079763775
H2AFB1,0.0,0.0,0.0,0.0,0.0,0.0
