Human,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
TRNP,0.0,71.84029646006378,186.46337119037238,238.68568152134063,235.51120930298987,248.09779751527574
TRNT,0.0,0.0,0.0,0.0,0.0,0.0
CYTB,41039.25575592645,37560.99067519152,30261.308289388035,40199.77300187397,33275.11345649566,35881.42706377954
TRNE,2536.8606800890857,1366.4232619447494,34.455188154742714,675.2383338110969,269.88139926867734,1063.1723887659984
ND6,6635.214369669277,8860.248494610563,6693.472675884745,9898.772584053037,12158.45005114455,12102.096403294956
ND5,39185.10749553925,42562.86203515093,35301.91362847631,41352.58411854983,44382.612726176034,48843.057764843856
TRNL2,0.0,0.0,0.0,0.0,0.0,0.0
TRNS2,0.0,0.0,0.0,0.0,0.0,0.0
TRNH,0.0,0.0,0.0,0.0,0.0,0.0
ND4,80380.2461596346,86455.63651707608,52658.18743892048,78042.11155131349,85194.13503139117,70163.64797983694
ND4L,34716.79808043029,32950.023650122384,16943.367777778363,27602.67303637903,32186.90075995189,30414.145025524518
TRNR,0.0,0.0,0.0,0.0,0.0,0.0
ND3,13349.86328774501,10627.297681772601,4362.398591206741,8223.480555721379,6329.803018471824,6536.459307219698
TRNG,0.0,0.0,0.0,0.0,0.0,0.0
COX3,13160.240164488412,11846.776438570596,11303.806747567882,13274.820801672602,11394.224001249017,13023.157438007916
ATP6,44010.398281304835,43626.597136140364,29644.093695569143,40172.37741820145,46334.6890903545,37806.63476266522
ATP8,12189.097229188594,10001.55748552996,5115.957381939391,8067.806649606357,8016.377162943946,7518.213016166105
TRNK,0.0,0.0,0.0,0.0,0.0,0.0
COX2,56066.89143888545,45365.73981690956,32663.870982270775,50297.075134151964,45503.116585625816,52917.68382147951
TRND,0.0,0.0,15.538614265864362,28.08066841427537,13.692512168778485,0.0
TRNS1,0.0,7.0799132743251265,0.0,0.0,0.0,0.0
COX1,54801.16222038078,54588.90683634006,41401.29748072285,66882.88567168497,64013.641647516844,67879.54149160734
TRNY,0.0,0.0,0.0,0.0,0.0,0.0
TRNC,0.0,3.7008637570335887,0.0,0.0,0.0,0.0
TRNN,0.0,0.0,0.0,0.0,0.0,0.0
TRNA,17.99191971694387,38.93952300878819,0.0,0.0,0.0,469.7738461989295
TRNW,0.0,0.0,0.0,16.84840104856521,0.0,0.0
ND2,45629.90354256521,29608.54383489465,28707.873189841855,43374.27357439474,28459.21111562232,43805.331518187464
TRNM,15.648434375661264,53.88022234504783,7.769307132932181,171.29207732707974,19.169517036289875,78.0532396677272
TRNQ,145.32758961840972,878.6467369823912,0.0,0.0,0.0,0.0
TRNI,0.0,0.0,225.87290012553558,171.5769536733115,2.698813992686773,2.747215474847541
ND1,85330.61801468719,55280.52198134084,63915.3591474901,92450.8540636086,70938.2128766843,98762.2267750442
TRNL1,0.0,0.0,0.0,0.0,0.0,0.0
RNR2,128117.02118179435,197036.12765545532,107639.09073590348,108501.15225715548,162351.66183194777,116664.29555664676
TRNV,0.0,0.0,0.0,0.0,0.0,0.0
RNR1,46974.227032590796,113214.14732981268,82434.53125306412,98955.9811452773,139874.8275335594,120042.78525818395
TRNF,197.33190015505238,3.4402395487917867,29.76410619940216,86.06131615417354,5.24558212663063,5.33965824688677
DDX11L16,0.0,0.0,0.0,0.0,0.0,0.11537301750729176
WASIR1,0.0,0.0,0.0,0.0,0.0,0.0
IL9R,0.0,0.0,0.0,0.0,0.0,0.0
VAMP7,4.499898044344384,0.09114067461351374,26.0213809049251,6.483700602519998,0.06948439011021917,0.28292219069325425
SPRY3,0.0,0.0,0.0,0.0,0.0,0.0
