Mouse,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
Cr2,0,0,0,0,3,5
Gm32313,0,0,7,0,0,3
Cr1l,146,228,546,107,127,84
Cd46,52,93,5,56,8,159
Mir29c,0,0,0,0,0,0
Mir29b-2,0,0,0,0,0,0
A330023F24Rik,199,734,378,536,511,523
Gm32250,0,0,0,0,0,0
Gm39749,0,0,0,0,0,0
Gm16897,0,0,0,0,0,2
Cd34,1782,2217,1767,568,708,379
Gm39748,0,0,0,0,0,0
Mir3962,0,0,0,0,0,0
LOC108167784,0,0,0,0,0,0
Plxna2,2333,1864,1449,2242,1812,1583
Gm31988,0,0,0,0,0,0
4930503O07Rik,0,0,0,0,0,0
Gm31870,0,0,0,0,0,0
Mir205,0,0,0,0,0,0
4631405K08Rik,0,0,0,0,0,0
Gm31753,0,0,0,0,0,0
Camk1g,0,28,137,264,196,208
Lamb3,0,15,0,0,18,0
G0s2,0,20,36,24,19,5
Hsd11b1,104,67,378,93,220,234
Traf3ip3,20,1,6,0,0,3
A130010J15Rik,133,124,268,93,90,97
Irf6,125,62,77,2,22,3
Diexf,10,74,95,232,252,178
Gm39747,0,0,0,1,4,0
Gm31406,2,0,0,0,12,1
Gm39746,40,0,0,0,32,26
Syt14,403,447,195,374,462,476
Gm15867,0,0,0,11,7,20
Sertad4,224,96,160,410,298,402
1700065J18Rik,0,0,0,0,0,0
A730013G03Rik,0,0,0,1,0,0
Gm31078,0,0,0,0,0,0
Gm31011,0,0,0,0,7,0
Hhat,20,0,1,0,0,0
Kcnh1,430,579,655,1484,1530,899
Gm39745,0,0,0,38,0,0
Gm30956,254,3,13,0,11,47
Gm10516,209,0,16,5,14,49
Rcor3,140,117,137,244,140,223
Gm3934,12,0,4,83,2,10
Mir3473c,0,0,0,0,0,0
Traf5,56,53,2,2,15,21
Gm26670,0,0,0,0,0,0
Rd3,0,0,8,0,0,0
Gm39743,0,0,0,0,0,0
Gm39742,0,0,0,0,0,0
Slc30a1,2930,1900,2342,871,617,692
1700034H15Rik,0,8,0,0,26,96
Nek2,0,0,0,0,6,0
Lpgat1,1077,2157,1746,5252,3459,2919
Gm39741,0,0,0,0,0,0
Ints7,170,187,144,486,389,174
Dtl,32,24,0,131,85,114
Gm32334,0,0,0,0,0,0
Gm32200,3,0,4,16,10,5
Gm32128,0,0,0,0,0,0
Gm31987,0,0,0,0,0,0
LOC105244059,0,0,1,0,0,0
Ppp2r5a,1280,612,624,792,576,480
Tmem206,2,54,295,54,63,83
Nenf,271,178,215,204,79,116
Gm37168,0,0,0,0,0,4
LOC108167327,0,4,1,0,8,2
D730003I15Rik,3,176,112,18,22,15
Atf3,0,0,20,0,0,0
Fam71a,0,0,0,0,0,0
Gm31696,0,0,0,0,0,0
Gm31640,0,0,0,0,0,0
LOC108167755,1,8,3,0,2,0
Batf3,0,1,0,0,15,0
Nsl1,2,0,34,0,2,0
Tatdn3,186,148,311,52,14,68
Spata45,0,0,0,0,0,0
A230020J21Rik,0,0,0,0,0,0
Mfsd7b,142,99,130,142,124,98
Gm31373,0,0,0,0,0,0
Vash2,2,0,18,22,0,66
Angel2,531,947,341,422,409,339
