Mouse,Microvessels 1,Microvessels 2,Microvessels 3,Whole brain 1,Whole brain 2,Whole brain 3
Cr2,0.0,0.0,0.0,0.0,0.04505989221863934,0.0691107489236993
Gm32313,0.0,0.0,0.33230423784052154,0.0,0.0,0.13798592648336383
Cr1l,10.559833817378216,15.564391337489374,34.23388160073884,6.031413389840226,8.383709490696267,5.102916795036993
Cd46,0.8618133100704066,1.4547416363098122,0.071835502091895,0.723317497001971,0.12101190912618037,2.2133084953181315
Mir29c,0.0,0.0,0.0,0.0,0.0,0.0
Mir29b-2,0.0,0.0,0.0,0.0,0.0,0.0
A330023F24Rik,4.923332648625175,17.13938485092909,8.106944079967665,10.334797791276479,11.53865732783381,10.867828233925307
Gm32250,0.0,0.0,0.0,0.0,0.0,0.0
Gm39749,0.0,0.0,0.0,0.0,0.0,0.0
Gm16897,0.0,0.0,0.0,0.0,0.0,0.0866728139854021
Cd34,87.38408325741847,102.60851321093325,75.11392530964632,21.707212647123253,31.687367776309532,15.609853163423171
Gm39748,0.0,0.0,0.0,0.0,0.0,0.0
Mir3962,0.0,0.0,0.0,0.0,0.0,0.0
LOC108167784,0.0,0.0,0.0,0.0,0.0,0.0
Plxna2,27.069749616873278,20.413077053180963,14.574617275961247,20.273848576682603,19.18916005863088,15.42713883571268
Gm31988,0.0,0.0,0.0,0.0,0.0,0.0
4930503O07Rik,0.0,0.0,0.0,0.0,0.0,0.0
Gm31870,0.0,0.0,0.0,0.0,0.0,0.0
Mir205,0.0,0.0,0.0,0.0,0.0,0.0
4631405K08Rik,0.0,0.0,0.0,0.0,0.0,0.0
Gm31753,0.0,0.0,0.0,0.0,0.0,0.0
Camk1g,0.0,1.3382927837019778,6.014227869582543,10.419216325861726,9.059085974862668,8.847047234954376
Lamb3,0.0,0.4238528358085779,0.0,0.0,0.491848718696818,0.0
G0s2,0.0,2.8779758388710555,4.7580155335741985,2.8517169238689806,2.6439056569094075,0.6402787059241891
Hsd11b1,8.618133100704068,5.24019836735255,27.153819790736314,6.006118501891366,16.6391375048498,16.286609682529647
Traf3ip3,1.2119396183940818,0.05719315493088873,0.3151820756563767,0.0,0.0,0.1526888116249198
A130010J15Rik,4.048788284837064,3.562773216353259,7.072411057208388,2.2064163421206797,2.50059989266395,2.4801624851789144
