Gene,59yo tumor periphery astro,59yo tumor core astro,64yo tumor core astro,65yo tumor core astro,21yo Hippocampus astro,22yo Hippocampus astro,53yo A Hippocampus astro,53yo B Hippocampus astro,Fetal ctx 1 astro,Fetal ctx 2 astro,Fetal ctx 3 astro,Fetal ctx 4 astro,Fetal ctx 5 astro,Fetal ctx 6 astro,8yo ctx astro,13yo ctx astro,16yo ctx astro,21yo ctx astro,22yo ctx astro,35yo ctx astro,47yo ctx astro,51yo ctx astro,53yo ctx astro,60yo ctx astro,63yo ctx 1 astro,63yo ctx 2 astro,25yo ctx neuron,22yo ctx oligo,63yo ctx A oligo,63yo ctx B oligo ,47yo ctx oligo,63yo ctx 3 oligo,45yo ctx myeloid,51yo ctx myeloid,63 yo ctx myeloid,47 yo ctx endo,13yo ctx endo,45yo whole cortex,63yo whole cortex,25yo whole cortex,53yo whole cortex,Mouse 1 month astro,Mouse 4 month astro,Mouse 7 month astro,Mouse 9 month astro
Aamp,0.1,1.1,0.7,1.5,1.4,3.4,2.1,0.7,2.8,0.1,1.9,0.1,0.1,2.2,3.6,2.6,1.5,0.9,2.8,2.4,2.2,2.1,0.7,2.2,2.3,2.1,1.9,2.0,1.3,2.6,2.8,1.1,1.2,1.5,2.8,0.2,1.0,1.2,0.5,1.2,1.4,5.3,5.5,9.6,4.4
Abat,0.6437635406996124,2.1934467642466693,1.6881747688635937,1.879100059206438,2.0509258570682114,1.7215099396916171,10.2,9.4,8.5,1.9876584389589567,1.877623820754549,2.4395111865903525,1.5857300073366354,1.781860430805315,1.8469811179937137,1.7001045322182031,1.73622212243662,1.6495669702851168,1.695895045485194,1.973571108789488,1.2159828352030497,1.6531882857787248,1.5743666392645725,1.2906137992832731,1.4406696764484623,1.3528010784901854,2.1275615745216383,1.3145833333334283,2.5,4.5,1.7907147628589037,3.9,0.9,1.5,2.2,1.2,2.5,0.9728225326992993,0.6450249886416404,1.036262924667785,0.8080763473055375,2.097972619136345,1.7654007805462468,2.587130770372084,2.044973029667064
Abca1,2.1,2.1934467642466693,1.6881747688635937,1.879100059206438,8.8,1.7215099396916171,6.5,4.8,0.9,1.5,2.9,3.6,1.2,2.8,1.8469811179937137,1.7001045322182031,1.73622212243662,1.6495669702851168,8.4,1.973571108789488,5.3,1.6531882857787248,1.5743666392645725,1.2906137992832731,7.1,1.3528010784901854,2.9,3.2,1.2,2.4,3.7,1.5,0.783307668617348,1.1622564258095514,1.3535963052696085,1.3,1.5,1.1,1.6,1.7,1.8,9.6,6.4,13.6,9.0
Abca2,0.5,0.6,0.6,0.3,7.7,0.2,8.2,8.5,1.7,0.4,0.5,0.1,2.0,0.1,2.0,0.7,0.6,0.6,0.3,0.9,0.1,0.1,0.7,0.1,0.1,0.1,0.1,0.3,0.6,1.1,0.8,0.2,0.1,0.1,0.1,0.1,0.4,0.9,0.1,0.5,0.2,3.2,5.9,6.4,5.4
Abcc5,2.1,3.2,2.3,5.7,3.7,5.7,4.1,5.1,2.4,7.6,1.8,5.4,3.0,2.6,1.0,2.2,2.3,1.7,0.7,3.4,1.0,3.7,2.5,1.8,0.5,1.0,11.3,4.2,2.6,4.1,6.9,2.3,1.5,1.9,2.6,0.6,1.1,3.8,1.7,1.036262924667785,1.5,5.3,2.3,10.3,3.0
Abcd2,0.6437635406996124,0.5,1.1,1.9,4.6,3.3,0.7,1.0,0.9,1.8,0.6,1.6,0.8,0.7,1.8469811179937137,1.7001045322182031,1.73622212243662,1.6495669702851168,8.0,10.0,5.9,9.4,1.5743666392645725,1.2906137992832731,4.3,6.6,2.4,0.4,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.2,1.2,1.8,1.8,2.0,2.097972619136345,1.7654007805462468,2.587130770372084,2.044973029667064
Abcd3,0.6437635406996124,7.3,4.2,7.8,8.9,6.8,6.7,5.2,7.8,1.9876584389589567,3.8,2.4395111865903525,3.5,9.3,5.9,9.2,7.7,8.7,7.9,8.4,1.2159828352030497,1.6531882857787248,8.8,1.2906137992832731,6.6,5.4,6.2,3.5,1.1340430351077464,8.0,6.8,5.6,2.0,2.3,2.0,2.2,0.8889696071165151,1.7,1.9,2.4,2.5,2.097972619136345,1.7654007805462468,2.587130770372084,2.044973029667064
Abce1,1.1,7.7,7.4,7.0,5.3,5.5,5.7,6.9,2.2,3.9,5.2,3.1,4.0,3.6,2.3,3.4,3.8,4.0,2.9,3.6,2.2,4.6,3.6,2.5,2.9,3.0,5.9,3.7,6.3,7.8,5.5,4.1,0.783307668617348,1.1622564258095514,7.3,0.5,1.2,2.1,2.6,1.9,3.4,9.5,6.5,9.4,6.7
Abhd11,0.1,2.5,1.3,0.8,0.2,0.8,1.2,1.6,2.0,0.1,0.8,0.1,0.1,0.1,3.4,2.1,2.0,1.1,1.5,2.3,0.7,1.2,1.3,0.4,1.1,0.7,0.6,0.1,0.3,0.7,1.0,0.3,1.0,2.9,2.0,1.0,0.4,0.8,0.1,0.9,0.3,10.1,6.9,11.0,6.9
Abhd12,0.9,6.4,3.3,3.7,2.7,4.8,6.3,2.8,2.3,2.0,2.0,7.1,0.1,0.1,3.7,1.1,2.3,0.9,3.4,1.0,0.7,1.3,0.9,0.4,1.4,0.8,2.1,1.2,1.6,2.5,3.5,1.2,0.3,3.8,2.8,1.0,1.3,0.5,0.2,0.9,0.3,2.097972619136345,1.7654007805462468,2.587130770372084,2.044973029667064
