Crip2,Dapp1,Dmp1,Fam163a,Lsmd1,Nat1,Nat8,Pank1,Prkcdbp,Rras,Smpd2,Snhg4,Tmem222,Znrd1,C1qtnf5,Gas6,Mmachc,Nme3,T,Tmem88b,TissueType
1.3,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,1.4,0.8,0.1,0.5,0.1,0.1,0.1,0.1,0.9,0.1,0.1,Human Brain
0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.3,0.3,0.1,1.3,1.5,0.4,0.1,0.1,0.2,0.1,0.1,Human Brain
0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.4,0.1,0.5,0.1,0.1,0.1,0.1,0.1,Human Brain
0.2,0.1,0.1,0.1,0.1,1.4,0.1,0.4,0.8,0.1,0.1,0.1,0.2,0.5,0.3,0.1,0.9,0.3,0.1,0.1,Human Brain
0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.3,0.2,0.1,0.8,0.4,0.1,0.1,0.1,0.1,0.1,0.1,Human Brain
0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.2,0.1,0.1,0.1,0.1,Human Brain
0.1,0.3,0.1,0.1,0.1,0.3,0.1,0.2,0.1,0.5,0.4,0.1,1.4,1.1,0.4,0.1,0.1,0.4,0.1,0.1,Human Brain
0.1,0.2,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.2,0.3,0.1,0.9,0.2,0.3,0.1,0.1,0.1,0.1,0.1,Human Brain
0.1,0.1,0.1,0.1,2.7,0.1,0.1,0.7,0.1,0.1,0.1,0.1,4.7,1.2,0.1,0.1,0.8,2.7,0.1,0.1,Human Brain
0.1,0.1,0.1,0.1,3.9,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,Human Brain
1.0,0.1,0.1,0.1,1.4,0.1,0.1,0.7,0.1,0.1,0.1,0.1,1.2,0.4,0.2,0.5,0.1,0.1,0.1,0.1,Human Brain
8.3,0.1,0.1,0.1,0.1,2.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.1,0.1,0.1,2.4395111865903525,0.1,0.1,Human Brain
8.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.8,0.1,0.1,0.1,2.9,0.1,0.1,0.1,0.1,5.0,0.1,0.1,Human Brain
3.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.6,0.1,0.1,0.1,0.1,1.9,1.8,1.3,4.4,0.1,0.1,Human Brain
